AvgTemperature,Year,Month
55.54838709677419,1995,1
62.36785714285714,1995,2
64.89677419354838,1995,3
83.11333333333333,1995,4
93.18709677419355,1995,5
95.83,1995,6
88.97419354838709,1995,7
83.1774193548387,1995,8
84.11999999999999,1995,9
78.87741935483871,1995,10
67.30666666666667,1995,11
59.5,1995,12
56.667741935483875,1996,1
62.73103448275862,1996,2
74.42903225806452,1996,3
83.75,1996,4
90.22258064516129,1996,5
88.91333333333334,1996,6
87.04516129032258,1996,7
83.3483870967742,1996,8
83.72666666666667,1996,9
76.75483870967743,1996,10
65.28666666666666,1996,11
55.935483870967744,1996,12
54.309677419354834,1997,1
61.603571428571435,1997,2
71.14516129032258,1997,3
79.79666666666667,1997,4
86.8483870967742,1997,5
88.17666666666668,1997,6
87.86451612903227,1997,7
84.82903225806452,1997,8
84.40333333333334,1997,9
74.04516129032258,1997,10
65.34,1997,11
54.52258064516129,1997,12
55.225806451612904,1998,1
62.214285714285715,1998,2
68.56451612903226,1998,3
84.26666666666667,1998,4
93.23225806451612,1998,5
91.45,1998,6
87.45806451612903,1998,7
79.47741935483872,1998,8
84.73333333333333,1998,9
71.45483870967742,1998,10
67.23,1998,11
36.94516129032258,1998,12
50.17741935483871,1999,1
62.496428571428574,1999,2
74.35483870967742,1999,3
72.81666666666666,1999,4
91.25483870967743,1999,5
91.21333333333334,1999,6
88.11935483870967,1999,7
87.83225806451614,1999,8
84.23666666666666,1999,9
77.6774193548387,1999,10
68.11333333333333,1999,11
57.02903225806452,1999,12
56.229032258064514,2000,1
59.317241379310346,2000,2
71.51935483870967,2000,3
86.8,2000,4
93.18709677419355,2000,5
88.18333333333334,2000,6
85.77741935483871,2000,7
86.12903225806451,2000,8
85.20666666666666,2000,9
79.21612903225805,2000,10
68.76333333333334,2000,11
58.42903225806452,2000,12
54.25806451612903,2001,1
62.707142857142856,2001,2
72.18387096774192,2001,3
76.16000000000001,2001,4
89.74193548387096,2001,5
87.07666666666667,2001,6
87.0,2001,7
87.21290322580644,2001,8
85.91666666666667,2001,9
78.76451612903226,2001,10
67.18,2001,11
59.00322580645161,2001,12
56.10645161290322,2002,1
62.05714285714286,2002,2
73.76129032258065,2002,3
85.81,2002,4
92.76451612903226,2002,5
66.56,2002,6
94.41612903225807,2002,7
86.75483870967743,2002,8
81.54333333333334,2002,9
72.36129032258064,2002,10
67.58666666666666,2002,11
58.74193548387097,2002,12
52.18387096774194,2003,1
62.260714285714286,2003,2
72.19032258064516,2003,3
85.71333333333334,2003,4
90.59032258064516,2003,5
93.15,2003,6
85.53870967741935,2003,7
85.34193548387097,2003,8
82.96000000000001,2003,9
76.71612903225805,2003,10
65.32,2003,11
57.877419354838715,2003,12
55.270967741935486,2004,1
63.96896551724138,2004,2
77.39032258064516,2004,3
86.21666666666667,2004,4
90.70645161290322,2004,5
89.5,2004,6
90.90967741935484,2004,7
85.03225806451613,2004,8
85.49666666666667,2004,9
75.76774193548388,2004,10
67.11999999999999,2004,11
59.725806451612904,2004,12
56.18064516129032,2005,1
62.24285714285714,2005,2
74.58709677419354,2005,3
83.51,2005,4
90.14193548387097,2005,5
93.17666666666668,2005,6
86.26774193548388,2005,7
88.61290322580645,2005,8
83.84333333333333,2005,9
77.03870967741935,2005,10
66.96,2005,11
55.45161290322581,2005,12
57.37419354838709,2006,1
69.81428571428572,2006,2
72.7290322580645,2006,3
85.57666666666667,2006,4
91.97741935483872,2006,5
89.73666666666666,2006,6
87.82903225806452,2006,7
87.0741935483871,2006,8
84.47333333333333,2006,9
79.04193548387097,2006,10
68.39333333333335,2006,11
59.33548387096774,2006,12
56.00645161290323,2007,1
63.449999999999996,2007,2
60.54516129032258,2007,3
86.77,2007,4
